prompt_id,evaluator_id,layer_index,mean_distance_to_self_answer,min_distance_to_self_answer,max_distance_to_self_answer,distance_to_self_spread,mean_distance_to_centroid,allocation_spread,negative_mass_sum,positive_mass_sum
p025,Qwen/Qwen2.5-7B-Instruct::normal_01,16,19.72970962524414,18.045684814453125,21.34557342529297,3.2998886108398438,10.936442375183105,0.6,0.25,0.75
p025,Qwen/Qwen2.5-7B-Instruct::normal_02,16,18.286102294921875,16.426071166992188,19.79235076904297,3.3662796020507812,10.69666576385498,0.6,0.25,0.75
p025,Qwen/Qwen2.5-7B-Instruct::normal_03,16,18.320579528808594,16.23537826538086,20.673585891723633,4.438207626342773,10.96528434753418,0.6,0.25,0.75
p025,Qwen/Qwen2.5-7B-Instruct::normal_04,16,19.373329162597656,16.329912185668945,22.69019317626953,6.360280990600586,10.962640762329102,0.5,0.05,0.95
p026,Qwen/Qwen2.5-7B-Instruct::normal_01,16,19.20069122314453,17.671873092651367,22.48973274230957,4.817859649658203,9.708409309387207,0.55,0.3,0.7
p026,Qwen/Qwen2.5-7B-Instruct::normal_02,16,20.486671447753906,18.780960083007812,21.523122787475586,2.7421627044677734,9.752095222473145,0.55,0.3,0.7
p026,Qwen/Qwen2.5-7B-Instruct::normal_03,16,19.605098724365234,16.347187042236328,22.634307861328125,6.287120819091797,9.891682624816895,0.55,0.3,0.7
p026,Qwen/Qwen2.5-7B-Instruct::normal_04,16,19.764976501464844,16.489158630371094,22.750492095947266,6.261333465576172,9.847942352294922,0.55,0.1,0.9
p027,Qwen/Qwen2.5-7B-Instruct::normal_01,16,18.30175018310547,13.760869026184082,21.050487518310547,7.289618492126465,10.280243873596191,0.75,0.25,0.75
p027,Qwen/Qwen2.5-7B-Instruct::normal_02,16,18.516544342041016,15.941633224487305,20.701383590698242,4.7597503662109375,10.245677947998047,0.55,0.15000000000000002,0.8500000000000001
p027,Qwen/Qwen2.5-7B-Instruct::normal_03,16,16.554872512817383,15.237180709838867,17.914079666137695,2.676898956298828,10.762977600097656,0.55,0.3,0.7
p027,Qwen/Qwen2.5-7B-Instruct::normal_04,16,15.018465042114258,13.75202465057373,17.688379287719727,3.936354637145996,9.606328964233398,0.6000000000000001,0.4,0.6000000000000001
p028,Qwen/Qwen2.5-7B-Instruct::normal_01,16,14.958770751953125,11.978716850280762,18.290084838867188,6.311367988586426,9.121663093566895,0.35,0.0,1.0
p028,Qwen/Qwen2.5-7B-Instruct::normal_02,16,15.262300491333008,11.970198631286621,19.91351890563965,7.943320274353027,9.189282417297363,0.5,0.05,0.95
p028,Qwen/Qwen2.5-7B-Instruct::normal_03,16,14.256245613098145,10.698616981506348,19.26677131652832,8.568154335021973,8.524879455566406,0.7,0.4,0.6
p028,Qwen/Qwen2.5-7B-Instruct::normal_04,16,14.573444366455078,11.279841423034668,19.4122314453125,8.132390022277832,9.077225685119629,0.5,0.05,0.95
p029,Qwen/Qwen2.5-7B-Instruct::normal_01,16,17.597482681274414,11.977130889892578,25.46546745300293,13.488336563110352,11.928689956665039,0.35,0.0,1.0
p029,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.5770263671875,12.16878890991211,23.812463760375977,11.643674850463867,11.097990036010742,0.7,0.4,0.6
p029,Qwen/Qwen2.5-7B-Instruct::normal_03,16,17.288301467895508,12.418001174926758,26.75497817993164,14.336977005004883,11.69316291809082,0.5,0.2,0.8
p029,Qwen/Qwen2.5-7B-Instruct::normal_04,16,16.24663734436035,12.296881675720215,24.765159606933594,12.468277931213379,11.172621726989746,0.55,0.25,0.75
p030,Qwen/Qwen2.5-7B-Instruct::normal_01,16,18.237503051757812,14.75810718536377,23.572765350341797,8.814658164978027,10.19872760772705,0.5,0.1,0.8999999999999999
p030,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.395084381103516,14.075289726257324,18.728330612182617,4.653040885925293,10.287237167358398,0.6,0.25,0.75
p030,Qwen/Qwen2.5-7B-Instruct::normal_03,16,17.95660400390625,14.322728157043457,23.4412841796875,9.118556022644043,9.961355209350586,0.09999999999999998,0.0,1.0
p030,Qwen/Qwen2.5-7B-Instruct::normal_04,16,17.25103759765625,13.966069221496582,21.94626235961914,7.980193138122559,10.407078742980957,0.7,0.4,0.6
p031,Qwen/Qwen2.5-7B-Instruct::normal_01,16,17.565004348754883,12.674779891967773,20.307819366455078,7.633039474487305,9.489025115966797,0.7999999999999999,0.30000000000000004,0.7
p031,Qwen/Qwen2.5-7B-Instruct::normal_02,16,18.275527954101562,13.429326057434082,20.370580673217773,6.941254615783691,9.728353500366211,0.7,0.4,0.6
p031,Qwen/Qwen2.5-7B-Instruct::normal_03,16,17.212512969970703,12.428387641906738,19.68516731262207,7.256779670715332,9.206731796264648,0.19999999999999998,0.0,1.0
p031,Qwen/Qwen2.5-7B-Instruct::normal_04,16,18.134353637695312,14.58077335357666,19.668506622314453,5.087733268737793,9.38945484161377,0.6,0.25,0.75
p032,Qwen/Qwen2.5-7B-Instruct::normal_01,16,15.72409439086914,11.398181915283203,19.5953426361084,8.197160720825195,9.09842300415039,0.7,0.4,0.6000000000000001
p032,Qwen/Qwen2.5-7B-Instruct::normal_02,16,15.18826675415039,13.646004676818848,18.083091735839844,4.437087059020996,9.154553413391113,0.85,0.4,0.6
p032,Qwen/Qwen2.5-7B-Instruct::normal_03,16,15.205799102783203,9.527281761169434,20.782344818115234,11.2550630569458,8.444893836975098,0.55,0.2,0.8
p032,Qwen/Qwen2.5-7B-Instruct::normal_04,16,15.191048622131348,11.306164741516113,19.807859420776367,8.501694679260254,8.623489379882812,0.6,0.25,0.75
p033,Qwen/Qwen2.5-7B-Instruct::normal_01,16,20.96687126159668,17.15744972229004,25.162059783935547,8.004610061645508,12.475983619689941,0.7,0.4,0.6
p033,Qwen/Qwen2.5-7B-Instruct::normal_02,16,21.799198150634766,18.77056312561035,24.92311668395996,6.152553558349609,12.990558624267578,0.6,0.3,0.7
p033,Qwen/Qwen2.5-7B-Instruct::normal_03,16,22.989648818969727,19.779199600219727,26.0502872467041,6.271087646484375,12.74934196472168,0.7,0.4,0.6
p033,Qwen/Qwen2.5-7B-Instruct::normal_04,16,20.953227996826172,15.56253719329834,23.47675132751465,7.914214134216309,12.332845687866211,0.7,0.55,0.45
p034,Qwen/Qwen2.5-7B-Instruct::normal_01,16,19.227340698242188,16.338199615478516,23.718263626098633,7.380064010620117,12.283872604370117,0.30000000000000004,0.0,1.0
p034,Qwen/Qwen2.5-7B-Instruct::normal_02,16,18.644271850585938,13.391682624816895,24.499338150024414,11.10765552520752,11.144734382629395,0.6000000000000001,0.30000000000000004,0.7
p034,Qwen/Qwen2.5-7B-Instruct::normal_03,16,18.763957977294922,14.785926818847656,26.58002471923828,11.794097900390625,12.496482849121094,0.35,0.0,0.9999999999999999
p034,Qwen/Qwen2.5-7B-Instruct::normal_04,16,19.07029151916504,13.514806747436523,26.448678970336914,12.93387222290039,11.879022598266602,0.6,0.15,0.8500000000000001
